dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
mnist,89,2,35,47.645,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.06, 0.95]",9,50,98,0.99,98.53,98.87,88.09,693.41,66.48,2712266,363.5
mnist,90,2,35,62.873,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.008, 0.7]",9,50,882,0.99,99.2,99.2,89.08,692.16,55.74,2712266,374.01
mnist,91,2,35,94.92,"['0.058', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.003, 0.7]",9,50,882,0.98,97.81,98.93,90.06,695.69,64.36,2712266,374.84
mnist,92,2,35,108.857,"['0.058', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.01, 0.7]",9,50,1225,0.98,98.31,98.37,91.04,694.52,54.96,2712266,379.8
mnist,93,2,35,123.675,"['0.062', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.15, 0.05, 0.9]",9,50,1813,0.99,99.02,99.08,92.03,692.15,50.77,2712266,387.4
mnist,94,2,35,92.119,"['0.058', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.02, 0.75]",9,50,441,0.99,99.3,99.3,93.03,691.8,57.74,2712266,394.34
mnist,95,2,35,93.517,"['0.060', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.07, 0.95]",9,50,441,0.99,98.7,99.18,94.01,692.49,57.87,2712266,395.09
mnist,96,2,35,140.33,"['0.064', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.001, 0.8]",9,50,441,0.98,97.56,98.86,94.99,695.47,63.04,2712266,395.92
mnist,97,2,35,29.654,"['0.052', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.3, 0.06, 0.95]",9,50,441,0.96,96.5,98.38,95.95,697.9,95.38,2712266,396.72
mnist,98,2,35,64.179,"['0.057', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.75]",9,50,1225,0.99,99.19,99.21,96.95,692.1,56.98,2712266,406.97
mnist,99,2,35,85.183,"['0.056', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.04, 0.85]",9,50,1666,0.99,99.26,99.3,97.94,691.76,59.33,2712266,412.87
