dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
fashion_mst,93,2,35,87.33,"['0.063', '0.050', '0.050', '0.065']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.25, 0.07, 0.8]",9,50,1764,0.85,85.34,89.44,81.59,719.18,214.63,2712266,429.66
fashion_mst,94,2,35,91.788,"['0.061', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.04, 0.8]",9,50,490,0.9,90.3,90.62,82.49,703.41,117.29,2712266,437.91
fashion_mst,95,2,35,78.623,"['0.056', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.25, 0.004, 0.9]",9,50,490,0.86,86.01,89.7,83.35,716.7,191.28,2712266,438.73
fashion_mst,96,2,35,28.071,"['0.056', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.07, 0.95]",9,50,539,0.85,85.29,88.32,84.2,731.31,280.19,2712266,440.23
fashion_mst,97,2,35,76.525,"['0.060', '0.050', '0.050', '0.061']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.001, 0.95]",9,50,539,0.77,77.48,86.15,84.98,755.62,252.56,2712266,441.89
fashion_mst,98,2,35,99.26,"['0.059', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.08, 0.9]",9,50,882,0.84,84.29,84.54,85.82,727.62,263.91,2712266,447.64
fashion_mst,99,2,35,92.686,"['0.070', '0.050', '0.050', '0.078']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,1225,0.87,86.52,86.87,86.69,719.75,211.5,2712266,452.76
fashion_mst,100,2,35,103.234,"['0.073', '0.050', '0.050', '0.082']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.75]",9,50,441,0.91,90.6,90.69,87.59,706.78,124.05,2712266,467.16
fashion_mst,101,2,35,101.686,"['0.065', '0.050', '0.050', '0.068']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.005, 0.9]",9,50,441,0.86,86.11,89.77,88.45,722.05,207.37,2712266,468.13
fashion_mst,102,2,35,101.863,"['0.072', '0.050', '0.050', '0.082']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.7]",9,50,735,0.91,90.61,90.62,89.36,710.91,177.69,2712266,472.19
